time,target,y,error,steer
8.672,0.5000,0.5565,0.5000,-0.0702
8.704,0.5000,0.5562,0.5000,-0.0695
8.736,0.5000,0.5559,0.5000,-0.0689
8.768,0.5000,0.5556,0.5000,-0.0682
8.800,0.5000,0.5553,0.5000,-0.0675
8.832,0.5000,0.5550,0.5000,-0.0669
8.864,0.5000,0.5547,0.5000,-0.0662
8.896,0.5000,0.5544,0.5000,-0.0655
8.928,0.5000,0.5541,0.5000,-0.0649
8.960,0.5000,0.5538,0.5000,-0.0642
8.992,0.5000,0.5535,0.5000,-0.0635
9.024,0.5000,0.5531,0.5000,-0.0628
9.056,0.5000,0.5528,0.5000,-0.0621
9.088,0.5000,0.5525,0.5000,-0.0614
9.120,0.5000,0.5521,0.5000,-0.0607
9.152,0.5000,0.5518,0.5000,-0.0600
9.184,0.5000,0.5514,0.5000,-0.0593
9.216,0.5000,0.5511,0.5000,-0.0586
9.248,0.5000,0.5507,0.5000,-0.0579
9.280,0.5000,0.5504,0.5000,-0.0572
9.312,0.5000,0.5500,0.5000,-0.0564
9.344,0.5000,0.5496,0.5000,-0.0557
9.376,0.5000,0.5493,0.5000,-0.0550
9.408,0.5000,0.5489,0.5000,-0.0543
9.440,0.5000,0.5485,0.5000,-0.0535
9.472,0.5000,0.5482,0.5000,-0.0528
9.504,0.5000,0.5478,0.5000,-0.0521
9.536,0.5000,0.5474,0.5000,-0.0513
9.568,0.5000,0.5470,0.5000,-0.0506
9.600,0.5000,0.5466,0.5000,-0.0499
9.632,0.5000,0.5462,0.5000,-0.0491
9.664,0.5000,0.5458,0.5000,-0.0484
9.696,0.5000,0.5454,0.5000,-0.0476
9.728,0.5000,0.5450,0.5000,-0.0469
9.760,0.5000,0.5446,0.5000,-0.0461
9.792,0.5000,0.5442,0.5000,-0.0454
9.824,0.5000,0.5438,0.5000,-0.0446
9.856,0.5000,0.5434,0.5000,-0.0439
9.888,0.5000,0.5430,0.5000,-0.0431
9.920,0.5000,0.5426,0.5000,-0.0423
9.952,0.5000,0.5422,0.5000,-0.0416
9.984,0.5000,0.5417,0.5000,-0.0408
10.016,0.5000,0.5413,0.5000,-0.0401
10.048,0.5000,0.5409,0.5000,-0.0393
10.080,0.5000,0.5404,0.5000,-0.0385
10.112,0.5000,0.5400,0.5000,-0.0378
10.144,0.5000,0.5396,0.5000,-0.0370
10.176,0.5000,0.5391,0.5000,-0.0362
10.208,0.5000,0.5387,0.5000,-0.0354
10.240,0.5000,0.5383,0.5000,-0.0347
10.272,0.5000,0.5378,0.5000,-0.0339
10.304,0.5000,0.5374,0.5000,-0.0331
10.336,0.5000,0.5369,0.5000,-0.0323
10.368,0.5000,0.5365,0.5000,-0.0316
10.400,0.5000,0.5360,0.5000,-0.0308
10.432,0.5000,0.5356,0.5000,-0.0300
10.464,0.5000,0.5351,0.5000,-0.0292
10.496,0.5000,0.5347,0.5000,-0.0285
10.528,0.5000,0.5342,0.5000,-0.0277
10.560,0.5000,0.5337,0.5000,-0.0269
10.592,0.5000,0.5333,0.5000,-0.0261
10.624,0.5000,0.5328,0.5000,-0.0254
10.656,0.5000,0.5324,0.5000,-0.0246
10.688,0.5000,0.5319,0.5000,-0.0238
10.720,0.5000,0.5314,0.5000,-0.0230
10.752,0.5000,0.5310,0.5000,-0.0223
10.784,0.5000,0.5305,0.5000,-0.0215
10.816,0.5000,0.5300,0.5000,-0.0207
10.848,0.5000,0.5295,0.5000,-0.0199
10.880,0.5000,0.5291,0.5000,-0.0192
10.912,0.5000,0.5286,0.5000,-0.0184
10.944,0.5000,0.5281,0.5000,-0.0176
10.976,0.5000,0.5276,0.5000,-0.0168
11.008,0.5000,0.5272,0.5000,-0.0161
11.040,0.5000,0.5267,0.5000,-0.0153
